Name,State,Year,Area (km²),Summary,mountain,forest,river,glacier,rock,plain,moor,sand,plateau,lake,lagoon,rubble,island,village,viticolture,sea,water
Altmühl Valley Nature Park,Bavaria,1969,2962,"The park is characterized by gently undulating plateaus and steep valleys with precipitous cliffs, and half of the park is wooded. The Altmühl flows through a spectacular valley from west to east.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Arnsberg Forest,North Rhine-Westphalia,1961,482,"The park includes the Arnsberg Forest in the west and the Warstein Forest in the east. It is an area of low, forested mountains with several ridges. It is bordered by the Möhne in the north and the valley cut by the Ruhr in the south.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Augsburg-Western Woods,Bavaria,1974,1175,"This park is bordered by the Danube, Wertach, Schmutter, Flossach and Mindel. The biggest part of the nature park is located in Augsburg (district) and extends to the edge of the districts Unterallgäu, Günzburg (district) and Dillingen (district). The gentle, hilly landscape of streams is fragmented by the gravel left behind by ice age Alpine glaciers and is nearly half forested.",True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Aukrug,Schleswig-Holstein,1970,384,"The park includes a flat and loamy ground moraine landscape with low hills and forests. In the south, the landscape is shaped by the river Stör, with moraines, heath, forest, and numerous ponds.",True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Barnim,Brandenburg Berlin,1999,749,"The park includes the Barnim heath habitats dating back to the ice age. It lies between the glacial valleys of Eberswalde in the north and Berlin in the south, and is more than half forested. The region is shaped by many individual lakes and meltwater gullies.",True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
Bavarian Rhön,Bavaria,1967,1245,"The park includes the area of the Rhön Mountains and lies amongst many low mountain ranges. In the south it extends to the Franconian Saale, and in its treeless Long Rhön shares a part of the central region of the High Rhön. The gently undulating surface is partially offset by basalt hills.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bavarian Spessart,Bavaria,1963,1710,"The park is underlain by Buntsandstein, gently inclined to the south. It includes the largest contiguous broadleaf/mixed forest in Germany, and is characterized by deep valleys, gentle slopes and heights.",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Bavarian Forest,Bavaria,1967,3008,"The park lies between the Danube and the heights of the Bavarian Forest. The park, nearly half forested, includes the peaks of the mountains as well as the southwestern slope, and is crossed by deep valleys and bordered by the Bavarian Forest National Park.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bergisches Land,North Rhine-Westphalia,1973,1917,"The park includes the northern part of the Rhenish Massif and the northern Siegerland and is a typical forested low mountain range. It rises gradually from west to east, and includes a densely populated valley.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bergstraße-Odenwald Nature Park,Hesse  Bavaria Baden-Württemberg,1960,3500,"The park includes the wooded low mountains of the Odenwald and extends east to the Maintal. It is bordered by the rivers Rhine, Main and Neckar. The region has stone runs formed by huge granite blocks (Felsenmeer) and bizarre rock formations.",True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Central/North Black Forest,Baden-Württemberg,2000,3750,"The park is characterized by a varied landscape typical of the Black Forest with deeply incised valleys, rocks, streams and large, contiguous forested area. The crests themselves are treeless. In the south, the Central/North Black Forest Nature Park blends into the Southern Black Forest Nature Park.",True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Bourtanger Moor-Bargerveen,Lower Saxony Netherlands,2006,140,"The park includes the Bourtanger Moor, the largest contiguous raised bog in Europe. It has a variegated landscape and is characterized by heath regions, farming land, expanses of water and peat digs.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Dahme-Heideseen,Brandenburg,1998,594,"The park is characterized by the lake-dominated landscape of the river Dahme and numerous streams. The region is littered with sandy valley plains, moors, distinctive terminal moraines and wind-generated inland dunes.",True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True
Diemelsee,Hesse North Rhine-Westphalia,1965,334,"The park is part of the Rothaar Mountains and is characterized by large, contiguous areas of forest. In the southeast and east it is bounded by the Waldecker Plain, in the north and northwest by the high plain of Paderborn and the Arnsberger Wald.",True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Drömling,Saxony-Anhalt,1990,278,"The park is a marsh, which previously comprised mainly wetlands. The landscape today is characterized by drainage and cultivation carried out in the 18th century and includes vast grasslands and dense forestry as well as a dense system of ditches.",False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Düben Heath,Saxony Saxony-Anhalt,1992,788,The park includes the greater part of the Düben Heath (Dübener Heide) with about two thirds of it forested. The landscape is characterized by a varied hilly heath formed in the ice age. It lies between the riverbeds of Elbe and Mulde.,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Dümmer,Lower Saxony North Rhine-Westphalia,1972,472,"The park includes the Dammer Berge, the Dümmer, the Stemweder Berg and numerous moors. The high ground in the area is crisscrossed by shallow dips created by the glaciers of the Saalian Stage and the moraines they left behind.",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Ebbegebirge,North Rhine-Westphalia,1964,777,"This nature park lies within the diverse Ebbegebirge, with two thirds of it covered by forest. It contains several dams such as the Biggertalsperre and numerous rivers such as the Lenne.",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Eichsfeld-Hainich-Werratal,Thuringia,1990,870,The park is characterized by the hills of the Hainich and the plateaus of the Eichsfeld. The river Werra has shaped and cut deeply into the area in the southwest of the landscape.,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Elbhöhen-Wendland,Lower Saxony,1968,750,"The park includes two rather different major landscapes, the forested Drawehn ridge and the banks of the river Elbe. It is characterized by a varied relief with numerous slopes and valley on the Drawehn and the wide glacial valley of the Elbe (the Elbe-Urstromtal).",True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Elm-Lappwald,Lower Saxony,1976,470,"The park includes the northern portion of the mid-German Harz mountains and the forested ridges of the Lappwald, Dorm and Elm, as well as the Helmstedter Mulde in the east. It is characterized by undulating hills. The chalk deposits of the local mountains are rich in fossils.",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Feldberg Lake District,Mecklenburg-Vorpommern,1997,345,"The park is some 38 percent forested and dominated by hills, valleys and sandy plains. The western part of the region formed in the ice age, with ground moraines, terminal moraines, sandurs, and glacial valleys, belongs to Müritz National Park.",True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Fichtel Mountains,Bavaria,1971,1028,"The park includes the wooded highlands of the Fichtel Mountains and the adjacent agricultural lands of the plateaux. It is bounded by the Thuringian Forest, Franconian Forest, Upper Palatine Forest and the Ore Mountains. The region is characterized by extensive rock formations and pillars such as the Luisenburg Rock Labyrinth.",True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Fläming,Saxony-Anhalt,2005,824,"The park includes the region between the Elbe and, in the north, the neighbouring High Fläming Nature Park. The gentle hills of the southern Fläming gradually lower themselves towards the city of Wittenberg.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Franconian Heights (Frankenhöhe),Bavaria,1974,1105,"This nature park is part of the cuesta in the southwest of Germany and descends steeply towards both west and east towards the Hohenlohe Plain and the Tauberland, respectively. To the southeast and the Central Franconian Basin the descent is more gentle.",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Franconian Forest,Bavaria,1971,1022,"The park is immediately adjacent to the Thuringian Forest and the Thuringian Slate Mountains-Upper Saale Nature Parks. It consists of an undulating plateau, overlooked by individual mountain tops with more than half its area forested.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Franconian Switzerland-Veldenstein Forest Nature Park,Bavaria,1968,2346,"The park includes varied valleys and plateaus of the Franconian Jura, with some bizarrely shaped rock formations. Erosion has created numerous caves in the area. In the central area lies Franconian Switzerland.",True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
German-Luxembourg,Rhineland-Palatinate Luxembourg,1958,432,"The park includes the western side of the South Eifel. It is characterized by a hilly, gently rolling landscape with deeply incised valleys and craggy rocks. The park is part of the international German-Luxembourg Nature Park.",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Habichtswald,Hesse,1962,474,"The park includes the Habichtswald, a forested low mountain range, which is located in the northern part of the extensive West Hesse Highlands. To the south and southwest, the landscape gradually descends into the valley of the river Eder.",True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Harz,Lower Saxony Saxony-Anhalt,1960,2335,"The park includes the Harz mountains, except for some of the highest portions, which belong to Harz National Park. It is characterized by densely forested areas and short, steep valleys which alternate with mountain ridges and solitary mountains.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Haßberge,Bavaria,1974,804,"The park is characterized by the hilly landscape of the Haßberge. The long ridge slopes steeply towards the west but more gently towards the east due to the makeup of the geological rock layers. In the south, it is bordered by the valley of the river Main.",True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Hessian Rhön,Hesse,1963,700,"The park includes the northwestern Rhön as well as parts of its foreland. The border with the Bavarian Rhön Nature Park runs through the high, elongated plain. The landscape of low mountains is characterized by wooded summits and high areas free of forest.",True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Hessian Spessart,Hesse,1962,729,"The park is characterized by oak and beech forests, deep valleys, gentle slopes, and the Spessart, which continues into Bavaria in the south. In the north it borders the Kinzig.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hirschwald,Bavaria,2006,278,The park was once the hunting ground of a prince-elector and is the smallest nature park in Bavaria. It is one of the oldest and largest forested areas in the entire region. It is characterized by riparian forests and steep slopes towards Vils and the river Lauterach.,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Hohe Mark,North Rhine-Westphalia,1964,1040,"The park includes the wooded ridges of the Haltern Hills - the Hohe Mark (together with its western foothills the Rekener Berge and Die Berge), Haard and Borkenberge - with their gentle summits and which are located in the southern Münsterland. The region is characterised by a varied and changing landscape. It is bordered by the Haard and the Borkenberge hills.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
High Fläming,Brandenburg,1997,827,"The park includes two different regions: in the north the flat lowlands of the Belziger Landschaftswiesen and in the south the hilly and wooded landscape of the High Fläming. The region is characterized by large, contiguous forest areas and a network of springs and burns.",True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
High Vogelsberg,Hesse,1958,384,"The park includes the central range of the Vogelsberg, a former shield volcano complex with the largest basalt mass in Europe. It is characterized by broadleaf/mixed forest, some 34%, as well as grasslands and wetlands.",True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Hohes Venn – Eifel,Rhineland-Palatinate North Rhine-Westphalia Belgium,1960,1751,The park includes the Eifel with the High Eifel and the High Fens. The southern High Eifel is characterized by forested ridges which are intersected by the rivers Prüm and Kyll. The foreland of the Fens has gentle hills.,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Holstein Switzerland,Schleswig-Holstein,1986,753,"The park includes a multitude of lakes, such as the Lake of Plön, which were created during the last ice age and lie within the Schleswig-Holstein Uplands, crisscrossed by the rivers Schwentine and Kossau.",False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True
Homert,North Rhine-Westphalia,1965,550,"The park lies between valley of the Ruhr in the northeast and the valley of the Lenne in the southwest. This varied, forested region is characterized by hills and ridges, river valleys, bizarre cliff and rock formations.",True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Hütten Hills,Schleswig-Holstein,1970,219,"The park includes the Hütten Hills, the northernmost hill country in Germany, and is largely part of the Schleswig Geestland. This landscape was created by rubble left behind by the glaciers during the last ice age.",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Kellerwald-Edersee,Hesse,2001,406,The park is characterized by a low mountain range as well as gentle valleys and hills. It includes part of the Kellerwald and stretches to the Edersee. It is dissected by the Eder river. The Naturpark comprises one of the largest protected beech forests in Europe.,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
Kyffhäuser,Thuringia,1990,305,"The park is characterized by the geologically very different regions of the Kyffhäuser, the Windleite and the Hainleite. To the south the nature park borders the Goldene Aue. It is completely forested and show several cliffs reaching 100 meters.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lahn-Dill Highlands,Hesse,2007,874,"The park includes the region Lahn-Dill Highlands. In the northwest the park borders the Rothaar Mountains, in the southwest it borders the Westerwald and in the south the Taunus. The park is more than half forested and partly streaked with rocky landscapes. To the northwest it is bordered by the Rothaar Mountain Nature Park.",True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Lauenburg Lakes,Schleswig-Holstein,1960,474,The park includes the Lauenburg lakes such as the Ratzeburger See and the Schaalsee; roughly a quarter of the park is forest. It is characterized by terminal moraine heights and in the south by gently undulating sandur plains.,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
Lower Lusatian Heath,Brandenburg,1996,484,"The park is characterized by ground moraine and terminal moraine ridges, as well as glacial valleys and sandy areas, dating from the Wolstonian Stage. In the north vast contiguous forested areas extend on sandy plateaus.",True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Lower Lusatian Ridge,Brandenburg,1997,586,"The park includes ridge of the Niederlausitzer Landrücken, a typical terminal moraine landscape from the ice age. The region is crossed by the northwesterly extending Glogau-Baruther Urstromtal, an ancient ice-parallel meltwater channel, toward which the park slopes steeply downward.",True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Lower Saale Valley,Saxony-Anhalt,2005,408,The park includes the lower Saale valley and is characterized by ice age deposits and round hills of porphyry. The lowlands are interrupted by rocky mountain ridges with steep bluffs and slopes.,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
Lüneburg Heath (Lüneburger Heide),Lower Saxony,1921,1130,"The park includes the Lüneburg Heath, that includes typical vast heath regions; the Wümme has its source there, and runs through the park. The hilly landscape was formed by ice age glaciers. Large areas of the region are covered by pine forest.",True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Maas-Schwalm-Nette,North Rhine-Westphalia Netherlands,1965,435,"The park spans the border with the Netherlands; the borderland is characterized by vast forests. The region has quite varied terrain, crossed by the eponymous rivers Schwalm and Nette and including the areas Süchtelner Höhen and Hardter Wald.",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Märkische Schweiz,Brandenburg,1990,205,"The park includes a varied hilly area, the Buckow Forest, and numerous lakes which were created by the glaciers of the last ice age. The region is dissected by valleys, and the nature park is divided by the Buckower Rinne, which was cut by meltwater of glaciers.",True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
Mecklenburg Switzerland and Lake Kummerow,Mecklenburg-Vorpommern,1997,673,"The nature park is only sparsely forested, it comprises several lakes including Lake Malchin, Lake Kummerow and Lake Teterow. The Peene river flows through the park. The region is characterized by hill chains in the centre of the park and valleys formed by glaciers of the ice age.",True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True
Mecklenburg Elbe Valley,Mecklenburg-Vorpommern,1998,426,The park includes the pristine river-formed landscape of the Elbe and its tributaries. The landscape is characterized by inland dune regions with specialized vegetation and the steep Elbe riverbed slopes. The region is criss-crossed by forests and heath.,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Meißner-Kaufungen Forest,Hesse,1962,421,"The park includes parts of the Kaufunger Wald, the Söhre and of the Hoher Meißner. It is characterized by a varied hilly mountain landscape bordering the Münden Nature Park to the north, and lies between Werra and Fulda.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Münden,Lower Saxony,1959,374,"The park includes the northern part of the Kaufungen Forest, the Bramwald and the Dransfeld Municipal Forest. Its southern border adjoins the Meißner-Kaufung Forest Nature Park. It is characterized by hills and plateaus and vast, contiguous forested areas.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Nassau,Rhineland-Palatinate,1963,590,"The nature park lies in the Rhenish Massif and is dissected from east to west by the deeply incised, winding Lahn. Several tributary valleys steeply climb to the heights of the Westerwald.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Neckar Valley-Odenwald,Baden-Württemberg,1980,1292,"The park includes the heavily forested low mountain landscape of the Odenwald, with deeply incised valleys. Bordering landscapes are the Bauland (a mostly unwooded area with good soils) in the east, the Bergstraße in the west and the deeply incised Neckar valley in the south.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Northern Upper Palatinate Forest(Oberpfälzer Wald),Bavaria,1975,1380,"The park includes the hilly low mountain landscape of the northern Upper Palatinate Forest. In the west this gives way to forests, fields, meadows, and pastures. In the east are the higher altitudes of the Bavarian Forest.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nossentiner/Schwinzer Heath,Mecklenburg-Vorpommern,1994,365,"The park is at least 60 percent forested and contains nearly 60 partly infilled lakes and includes a wide flat landscape, with only a few hills rising above. The region is characterized by sandy land, which in places forms wind-formed dunes.",True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
Nuthe-Nieplitz,Brandenburg,1999,623,The park is characterized by the wet lowlands of the rivers Nuthe and Nieplitz and beech forests close to their natural state. The central area of the region was formed as a glacial meltwater feeder channel (Zwischenurstromtal) by a melting glacier at the end of the last glacial period.,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
Ore Mountains/Vogtland,Saxony,1990,1495,"The park includes the Erzgebirge and the Vogtland and forms a diversified landscape. A forested area runs along an undulating plateau in the Vogtland, which rises gently to the south. Deeply sunken valleys run across the Erzgebirge.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Palatine Forest,Rhineland-Palatinate,1958,1798,With a forested area of 76 percent the park forms the largest contiguous forest in Germany. It is characterized by a varied and impressive landscape of Buntsandstein rocks found nowhere else in Germany.,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
Rhine-Taunus,Hesse,1968,808,"The park includes the western part of the Taunus and extends over the Idsteiner Becken to the Rhine. It is characterized by a roughly 60 percent forested low mountain landscape, which falls away steeply toward the water gap of the Rhine Gorge.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Rhine-Westerwald,Rhineland-Palatinate,1962,446,"The park is part of the Niederwesterwald, which in turn is part of the Rhenish Massif. The river Wied crosses the nature park in a valley that is broad in some places and gorge-like in others. Some 45 percent is forested.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Rhineland,North Rhine-Westphalia,1978,1052,The park is characterized by a diverse landscape and lies between the plain of the Rhine at the edge of the Cologne Bay and the Erft. The Ville mountain ridge crosses the park parallel to the Rhine.,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Rothaar Mountains,North Rhine-Westphalia,1963,1355,"The park includes the Rothaar Mountains (Rothaargebirge) and is roughly 65 percent spruce and beech forest. The region ist distinguished by a diverse hilly mountain landscape between Upper Ruhr and Lahn rivers. The park is bordered to the west and northwest by Naturpark Ebbegebirge and Naturpark Homert, to the north by Naturpark Diemelsee and to the southeast by Naturpark Lahn-Dill-Bergland.",True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
Saale-Unstrut-Triasland,Saxony-Anhalt,1991,710,The park includes part of the middle Saale valley and the lower Unstrut valley as well as the adjoining plateaus. It is characterized by gentle hills and mostly open landscape with viticulture and orchards.,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Saar-Hunsrück,Rhineland-Palatinate Saarland,1980,1938,"The park includes the Hunsrück, its Schwarzwälder Hochwald and the Osburger Hochwald. The region is characterized by a low mountain landscape with deeply incised valleys, forested mountain ridges, meadows and rocks.",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Schlaube Valley,Brandenburg,1995,228,"The park includes in its north the heath habitat Reicherskreuzer Heide, and is characterized by ground and terminal moraines as well as thrust moraines, sandur plains and inland dunes. The region contains numerous meltwater channel systems generated in the last glacial period, notably the Schlaube, Dorche, Oelse and Demnitz.",False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True
Schönbuch,Baden-Württemberg,1972,156,The park includes the Schönbuch and forms the largest contiguous forested area in the Stuttgart region. To the south it is confined by Ammer- and Neckar valleys. The eastern border is the Filder plateau and in the west the plain of the Gäu.,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Swabian-Franconian Forest,Baden-Württemberg,1979,904,"The park is divided into five small regions: Welzheim Forest, Murrhardt Forest, Mainhardt Forest, Waldenburg Hills and Löwenstein Hills. The region is characterized by bizarre rock formations and steep slopes in the Keuper group.",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Siebengebirge,North Rhine-Westphalia,1959,48,"The park includes the Siebengebirge and it is the only nature park in Germany that is designated in its entirety as a nature preserve. The region is characterized by a unique rocky landscape of volcanic origin, showing the results of erosion of volcanic rocks and exposure of intrusive rocks.",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Solling-Vogler,Lower Saxony,1966,527,"The park includes both the low mountain ranges Solling and Vogler and the mountain ridge of the Burgberge that lies between them. On the west it borders on the Weser falley. The park is characterized by narrow crests, steep slopes, deeply incised valleys and large forested areas.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Soonwald-Nahe,Rhineland-Palatinate,2005,736,"The park features a diverse landscape in a small area. It comprises the Hunsrück plateaus, the quartzite crests of the Soonwald showing deeply incised streams and the Nahe river valley. The region is characterized by extensive deciduous forests.",True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Southern Black Forest,Baden-Württemberg,1999,3940,"The Southern Black Forest Nature Park is Germany's biggest nature park (as of 2018). Two thirds of the park is covered by forest and deeply incised by valleys of the Black Forest. In the west and south it comes close to the Rhine, in the east to the Swabian Alb - Wutach area and in the north to the Middle Black Forest.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stechlin-Ruppiner Land,Brandenburg,2001,683,"The park is up to 62 percent forested, and borders the Naturpark Uckermärkische Seen. The region is characterized by long chain of lakes, some of them with very clear water, a rare feature in Middle Europe. The large beech forests are ecologically important.",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
Steigerwald,Bavaria,1971,1280,"The park is characterized by a gentle low mountain landscape, covered with beech and partly with bright oak groves. The northern border is formed by a big loop of the Main and the southern limit by the river Aisch.",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Steinhuder Meer,Lower Saxony,1974,310,"The park includes the largest inland lake in northwestern Germany, the Steinhuder Meer, and is mostly bare of trees. The region is characterized by moorland, which takes up roughly a quarter of the park. The region was formed as a huge glacial ice-parallel meltwater channel (Urstromtal) during the Wolstonian Stage.",False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
Steinwald,Bavaria,1970,246,The park includes the Steinwald and is embedded between Fichtel Mountains and Upper Palatinate Forest. It shows a multitude of different landscapes. The western portion is characterized by a landscape of basalt domes with stone runs and bizarre rock formations resembling castles.,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Sternberg Lake District,Mecklenburg-Vorpommern,2005,540,"The park includes the middle Warnow valley and the Sternberg lakes. The region is characterized by forested sandur plains, the glacial meltwater valleys (Urstromtäler) of the Warnow and Mildenitz rivers, glacial lakes and terminal moraines.",True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True
Stromberg-Heuchelberg,Baden-Württemberg,1980,328,"The park includes the Stromberg hills and the Heuchelberg mountain ridge. It is characterized by a well wooded hilly landscape. Geologically, it belongs to the Keuper mountains. The north slopes are mostly forested, the south slopes are used by viticulture.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Südheide,Lower Saxony,1963,500,The park lies in the southern Lüneburg Heath and is characterized by large forest and heath areas. The landscape dates from the ice age and is characterized by undulating to gentle hilly terrain and large contiguous forested area.,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Stettin Lagoon,Mecklenburg-Vorpommern,2005,537,"The park extends south from lagoons by the Baltic Sea to the mountains of the Brohmer Berge, and is characterized by the partly flat and partly hilly terminal moraine landscape, a coast with lagoons. It comprises vast and contiguous forests of Ueckermünder Heide.",True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
Taunus Nature Park formerly Hochtaunus Nature Park,Hesse,1962,1202,"The park includes the main range of the Taunus proper, an undulating to craggy, forested low mountain range with the river Lahn to the North. The Hochtaunus is dominated by coniferous trees, the Hintertaunus by deciduous forest.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
TERRA.vita,North Rhine-Westphalia Lower Saxony,1962,1140,"The park includes parts of the Teutoburg Forest, the Wiehen Hills and the Weser hills. The park is characterized by a rich and varied low mountain landscape, crossed by many valleys.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
